iso_3,year,sentiment,amount_of_time_spent_on_climate,Annual COâ‚‚ emissions (per capita),Anual co2 per capita shifted,Change co2
COG,2016,0.8225,0.1,1.1201208,1.0733956,0.04672520000000002
COG,2017,0.8709666666666666,0.23076923076923078,1.0733956,1.2123058,-0.13891019999999998
COG,2018,0.12719999999999998,0.18181818181818182,1.2123058,1.3178641,-0.1055583
COG,2019,0.02560000000000001,0.16666666666666666,1.3178641,1.3205227,-0.0026585999999999554
COG,2020,-0.5106,0.034482758620689655,1.3205227,1.2790622,0.0414604999999999
COG,2021,0.10842,0.3333333333333333,1.2790622,0.5472468,0.7318154
COL,2013,0.8591,0.06666666666666667,1.9054631,2.0964537,-0.19099060000000012
COL,2014,,0.0,2.0964537,2.026165,0.07028869999999987
COL,2015,0.9468,0.1111111111111111,2.026165,2.0730493,-0.04688429999999988
COL,2016,0.3731,0.13333333333333333,2.0730493,1.6480842,0.4249651000000001
COL,2017,0.9182,0.045454545454545456,1.6480842,1.6727245,-0.02464029999999995
COL,2018,,0.0,1.6727245,1.9215612,-0.24883670000000002
COL,2019,0.8460333333333333,0.10344827586206896,1.9215612,1.6792564,0.24230479999999988
COL,2020,0.17806666666666668,0.08823529411764706,1.6792564,1.7800757,-0.10081929999999995
COL,2021,0.92465,0.06060606060606061,1.7800757,0.057472706,1.722602994
COM,2013,,0.0,0.26193994,0.22559777,0.03634216999999998
COM,2014,0.9855,0.06666666666666667,0.22559777,0.24586529,-0.020267519999999983
COM,2015,0.4635,0.3076923076923077,0.24586529,0.28968737,-0.04382208000000001
COM,2016,0.919,0.23529411764705882,0.28968737,0.35116428,-0.061476909999999996
COM,2017,0.8875,0.08333333333333333,0.35116428,0.37757528,-0.026411000000000018
COM,2018,0.6287666666666667,0.1111111111111111,0.37757528,0.39373294,-0.016157659999999963
COM,2019,0.75975,0.1111111111111111,0.39373294,0.35040462,0.043328319999999976
COM,2020,0.7677,0.041666666666666664,0.35040462,0.3629009,-0.012496280000000026
COM,2021,0.9451,0.045454545454545456,0.3629009,0.18158779,0.18131311000000003
CPV,2013,0.43124285714285715,0.30434782608695654,0.9160865,0.89237714,0.023709360000000013
CPV,2014,0.32847499999999996,0.21052631578947367,0.89237714,0.889177,0.003200140000000018
CPV,2015,0.4404,0.09090909090909091,0.889177,0.9645576,-0.07538060000000002
CPV,2016,0.603,0.125,0.9645576,1.0246974,-0.060139799999999966
CPV,2017,0.8586666666666667,0.15,1.0246974,1.0198998,0.0047976000000000685
CPV,2018,0.6124,0.07692307692307693,1.0198998,1.0603964,-0.040496599999999994
CPV,2019,0.7810666666666667,0.25,1.0603964,1.0728298,-0.01243340000000015
CPV,2020,-0.0045499999999999985,0.0625,1.0728298,1.1356577,-0.06282790000000005
CPV,2021,0.4215,0.038461538461538464,1.1356577,0.05993918,1.0757185200000001
CRI,2013,0.4731,0.1935483870967742,1.5927062,1.5994716,-0.0067653999999999215
CRI,2014,,0.0,1.5994716,1.5129023,0.08656930000000007
CRI,2015,,0.0,1.5129023,1.6183865,-0.10548420000000003
CRI,2016,0.636375,0.10526315789473684,1.6183865,1.6416271,-0.023240600000000056
CRI,2017,0.91715,0.13043478260869565,1.6416271,1.6325939,0.009033199999999963
CRI,2018,,0.0,1.6325939,1.583944,0.048649900000000024
CRI,2019,0.91,0.05555555555555555,1.583944,1.3823137,0.20163029999999993
CRI,2020,0.0829,0.045454545454545456,1.3823137,1.5171846,-0.1348708999999999
CRI,2021,0.11272499999999999,0.21052631578947367,1.5171846,0.0,1.5171846
CUB,2013,,0.0,2.4841857,2.4363027,0.047882999999999676
CUB,2014,-0.296,0.03333333333333333,2.4363027,2.598672,-0.16236929999999994
CUB,2015,,0.0,2.598672,2.4915743,0.10709770000000018
CUB,2016,0.8316,0.043478260869565216,2.4915743,2.224568,0.2670062999999998
CUB,2017,-0.6325,0.0425531914893617,2.224568,1.997767,0.22680100000000003
CUB,2018,-0.3369,0.05714285714285714,1.997767,2.0184536,-0.02068659999999989
CUB,2019,0.9571,0.04,2.0184536,1.7461034,0.2723502
CUB,2020,,0.0,1.7461034,1.9595414,-0.21343800000000002
CUB,2021,-0.08297500000000001,0.07692307692307693,1.9595414,61.069042,-59.109500600000004
DJI,2015,0.3174333333333333,0.13043478260869565,0.42895317,0.3714898,0.057463370000000014
DJI,2017,0.6771,0.10526315789473684,0.37660372,0.36402908,0.01257463999999997
DJI,2018,0.9389000000000001,0.11764705882352941,0.36402908,0.36555248,-0.001523400000000008
DJI,2019,-0.24275000000000002,0.21052631578947367,0.36555248,0.33325964,0.03229283999999999
